,Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder Range
0,Argentina,Agricultural policy protests,Apr-22,Free,The government's adoption of interventionist policies to curb rising prices for agricultural goods.,Frustration with high tax rates and persistently high inflation.,">1,000",Farmers.,Active,No policy/leadership change in response to protests.,X,X,X,,Thousands,,,,,,Buenos Aires,Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69.0,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,0.22100000000000009
1,Armenia,Peace plan protests,Nov-20,Partly free,"Announcement of a Russian-brokered peace deal that ceded a sizable part of the contested Nagorno-Karabakh region to Azerbaijan; in 2022, the government's announcement that it may have to reduce territorial claims as part of the peace process.","Nationalist sentiment and a belief in Armenian territorial claims to the Nagorno-Karabakh regions, and anger over concessions to Azerbaijan.",">1,000",Coalition of seventeen opposition parties and their adherents.,6 months in 2020–2021; Active as of May 2022,No policy or leadership change in response to the protests.,X,,X,,Thousands,,,,X,,Yerevan,Armenia,Commonwealth of Independent States,5.283,0.058,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,0.2290000000000001
2,Brazil,Indigenous land rights protests,Jun-21,Free,President Jair Bolsonaro's administration's support for loosening restrictions on land use and the imminent announcement of a verdict in a crucial Indigenous land rights case.,Anger over economic exploitation of Indigenous lands.,">4,000",Indigenous groups.,Active,The Brazilian Supreme Court suspended the land rights case.,X,,X,,Thousands,X,,,,,Brasilia,Brazil,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,0.16999999999999993
3,Canada,Coronavirus restrictions protests,Apr-20,Free,"Enactment of coronavirus restrictions, including mask mandates, vaccine mandates, and lockdowns.","Skepticism of coronavirus, vaccines, and concerns over the balance between public health restrictions and freedom.",">1,000",General public; truckers.,Active,No policy/leadership change in response to the protests.,X,X,,X,Thousands,,,X,,X,Ottawa,Canada,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,0.1639999999999997
4,Iran,Public sector employees protests,Jan-22,Not free,Rising costs of living and stagnating salaries for public sector employees.,Frustration with the government's slow implementation of salary and pension reform; economic mismanagement.,>1000,"Public sector employees, including nurses and teachers.",Active,No policy/leadership change in response to protest.,X,X,,,Thousands,,,,,,Tehran,Iran,Middle East and North Africa,4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,0.2140000000000004
5,Iraq,Iraq protests,Oct-19,Not free,Demotion of a popular counterterrorism leader who was fighting government corruption; the violent response to anti-government protests in early October 2019; and the killing of activists by militias.,"Inadequate public services, government corruption, unemployment, discontent with the country’s sectarian political system, Iranian influence in Iraq, and government repression of protests.",">10,000","Young people (especially young men), university students.",Active,"Adel Abdul-Mahdi resigned as prime minister but remained as a caretaker until February 2020, when Mohammed Allawi was appointed prime minister. Allawi failed to assemble a government, however, and consequently never took office. He was replaced by Adnan al-Zurfi. In May 2020, al-Zurfi resigned and Mustafa al-Kadhimi became the prime minister. Al-Kadhimi's government held parlimentary elections in October 2021, meeting a key protester demand.",X,X,X,X,Tens of thousands,X,,X,X,,Baghdad,Iraq,Middle East and North Africa,4.854,0.059,4.97,4.738,9.24,0.746,60.583,0.63,-0.053,0.875,2.43,0.91,0.638,0.381,0.302,0.153,0.041,2.429,0.23199999999999932
6,Israel,Palestinian protests,May-21,Free,A forthcoming court decision on whether to evict six Palestinian families from their homes in the East Jerusalem neighborhood of Sheikh Jarrah; Israeli moves to crack down on Palestinian assembly.,Ongoing tensions over the fate of East Jerusalem and the future of Palestinian residents; frustrations with Israeli settler policy.,">100,000",Palestinians.,Active,The Supreme Court delayed its ruling in the case.,X,,X,,Hundreds of thousands,X,X,X,,,Jerusalem,Israel,Middle East and North Africa,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,0.13400000000000034
7,Lebanon,October Movement,Oct-19,Partly free,"Introduction of taxes on tobacco, petrol, and WhatsApp voice calls. After August 2020, the protests were invigorated by the Beirut Port explosion.","High youth unemployment and a currency crisis, income inequality, poor service delivery, and political nepotism and corruption due to sectarianism.",">1,000,000",General public.,Active,"In October 2019, the government of Prime Minister Saad Hariri resigned. Protests continued under his successor, Hassan Diab, whose government resigned after the Beirut blast of 2020.",X,X,X,X,Over 1 million,X,X,X,X,,Beirut,Lebanon,Middle East and North Africa,4.584,0.055,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,0.898,2.43,1.045,0.868,0.595,0.175,0.14,0.026,1.736,0.21399999999999952
8,Morocco,Rising cost of living protests,Feb-22,Partly free,"Increasing prices of basic goods, including grain and fuel.",Frustration at inflation and the perception that the government's response to rising prices has been insufficient.,">1,000",General public.,Active,The government acknowledged that its policies had been insufficient to address rising prices.,X,X,X,,Thousands,,,,,,Rabat,Morocco,Middle East and North Africa,4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,0.23599999999999977
9,Myanmar,Coup protests,Feb-21,Not free,The February 1 coup d'etat orchestrated by the Burmese military against the National League for Democracy (NLD) and civilian government.,Opposition to military rule and its rejection of the overwhelmingly pro-NLD election results.,">100,000",General public.,Active,No policy/leadership change in response to the protests.,X,,X,,Hundreds of thousands,,X,X,X,,Naypyidaw,Myanmar,Southeast Asia,4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,0.2030000000000003
